lane	variant	run	rc	duration_s	mate_calls	queries_after
dsv4	pre	1	0	324	0	1
dsv4	pre	2	0	157	5	1
dsv4	pre	3	0	275	4	1
dsv4	pre	4	0	492	5	1
dsv4	pre	5	0	49	0	1
dsv4	post	1	0	221	7	1
dsv4	post	2	0	140	6	1
dsv4	post	3	0	208	8	1
dsv4	post	4	0	162	7	1
dsv4	post	5	0	165	6	1
