lane	variant	run	rc	duration_s	mate_calls	queries_after
dsv4	bare	1	1	1	0	21
dsv4	bare	2	0	180	0	1
dsv4	bare	3	0	290	0	1
dsv4	bare	4	0	52	0	1
dsv4	bare	5	0	366	0	1
