lane	variant	run	rc	duration_s	mate_calls	queries_after
qwen	pre	1	0	101	0	21
qwen	pre	2	0	61	0	21
qwen	pre	3	0	111	0	21
qwen	pre	4	0	46	0	21
qwen	pre	5	0	58	0	21
qwen	post	1	0	43	0	21
qwen	post	2	0	25	0	21
qwen	post	3	0	75	0	21
qwen	post	4	0	113	0	21
qwen	post	5	0	98	0	21
